127.0.0.1 - - [06/Mar/2020:13:22:11 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:24 +0900] "GET /ffems HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:29 +0900] "GET /vbms HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:29 +0900] "GET /vbms/ HTTP/1.1" 200 4332
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:29 +0900] "GET /vbms/css/common.css HTTP/1.1" 200 10790
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:29 +0900] "GET /vbms/css/import.css HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:29 +0900] "GET /vbms/css/skin01.css HTTP/1.1" 200 19611
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:29 +0900] "GET /vbms/css/vbms.css HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:29 +0900] "GET /vbms/css/jquery-ui.css HTTP/1.1" 200 35997
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:29 +0900] "GET /vbms/js/jquery.min.js HTTP/1.1" 200 95821
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:29 +0900] "GET /vbms/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:29 +0900] "GET /vbms/js/jquery.cookie.js HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:29 +0900] "GET /vbms/js/jquery.fileDownload.js HTTP/1.1" 200 19550
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:29 +0900] "GET /vbms/js/jquery.form.js HTTP/1.1" 200 41543
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:29 +0900] "GET /vbms/js/common.js HTTP/1.1" 200 6343
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:29 +0900] "GET /vbms/images/popup_title.gif HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:29 +0900] "GET /vbms/images/btn_type0_head.gif HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:29 +0900] "GET /vbms/images/btn_type0_end.gif HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:29 +0900] "GET /vbms/css/comm/page_style.css HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:29 +0900] "GET /vbms/css/comm/base.css HTTP/1.1" 200 2091
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:29 +0900] "GET /vbms/images/common/popup_title_bg.gif HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:29 +0900] "GET /vbms/images/btn_type0_bg.gif HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:42 +0900] "POST /vbms/common/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:42 +0900] "GET /vbms/daejang/violBuildingList.do HTTP/1.1" 200 18829
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:42 +0900] "GET /vbms/css/skin01.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:42 +0900] "GET /vbms/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:42 +0900] "GET /vbms/css/import.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:42 +0900] "GET /vbms/css/vbms.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:42 +0900] "GET /vbms/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:42 +0900] "GET /vbms/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:42 +0900] "GET /vbms/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:42 +0900] "GET /vbms/js/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:42 +0900] "GET /vbms/js/jquery.form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:42 +0900] "GET /vbms/js/jquery.fileDownload.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:42 +0900] "GET /vbms/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:42 +0900] "GET /vbms/images/popup_title.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:42 +0900] "GET /vbms/images/btn_type0_head.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:42 +0900] "GET /vbms/images/btn_type0_end.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:42 +0900] "GET /vbms/images/btn_type1_head.gif HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:42 +0900] "GET /vbms/images/btn_type1_end.gif HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:42 +0900] "GET /vbms/css/comm/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:42 +0900] "GET /vbms/css/comm/page_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:43 +0900] "POST /vbms/daejang/selectViolBuildingList.do HTTP/1.1" 200 2414
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:43 +0900] "GET /vbms/images/common/popup_title_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:43 +0900] "GET /vbms/images/btn_type0_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2020:13:22:43 +0900] "GET /vbms/images/btn_type1_bg.gif HTTP/1.1" 200 106
